candidate_id,instrument,module_family,side,regime_variant,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,regime_build_start,regime_build_end,lunch_build_start,lunch_build_end,trade_start,trade_end,entry_rule,target_type,paper_trading_approved
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_midpoint_reclaim,long,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_opposite_extreme,False
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,high_vol_mixed_midpoint_reclaim,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_opposite_extreme,False
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_midpoint_reclaim,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_opposite_extreme,False
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,high_vol_mixed_midpoint_reclaim,long,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_opposite_extreme,False
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_midpoint_reclaim,long,strict_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_opposite_extreme,False
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,high_vol_mixed_midpoint_reclaim,long,strict_high_vol_mixed,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_opposite_extreme,False
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_midpoint_reclaim,long,strict_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_opposite_extreme,False
MNQ_16a_high_vol_mixed_midpoint_reclaim_short_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,high_vol_mixed_midpoint_reclaim,short,broad_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_opposite_extreme,False
MNQ_16a_high_vol_mixed_midpoint_reclaim_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_midpoint_reclaim,short,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_opposite_extreme,False
MNQ_16a_high_vol_mixed_midpoint_reclaim_short_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,high_vol_mixed_midpoint_reclaim,short,broad_high_vol_mixed,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_opposite_extreme,False
MNQ_16a_high_vol_mixed_midpoint_reclaim_short_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_midpoint_reclaim,short,broad_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_opposite_extreme,False
MNQ_16a_high_vol_mixed_midpoint_reclaim_short_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,high_vol_mixed_midpoint_reclaim,short,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_opposite_extreme,False
MNQ_16a_high_vol_mixed_midpoint_reclaim_short_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_midpoint_reclaim,short,strict_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_opposite_extreme,False
MNQ_16a_high_vol_mixed_midpoint_reclaim_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,high_vol_mixed_midpoint_reclaim,short,strict_high_vol_mixed,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_opposite_extreme,False
MNQ_16a_high_vol_mixed_midpoint_reclaim_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_midpoint_reclaim,short,strict_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_opposite_extreme,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,high_vol_mixed_late_resolution_breakout,long,broad_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,11:30,13:00,13:00,15:30,later_bar_open,fixed_1_5r,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_late_resolution_breakout,long,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,11:30,13:00,13:00,15:30,later_bar_open,fixed_1_5r,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,high_vol_mixed_late_resolution_breakout,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,11:30,13:00,13:00,15:30,later_bar_open,fixed_1_5r,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_late_resolution_breakout,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,11:30,13:00,13:00,15:30,later_bar_open,fixed_1_5r,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,high_vol_mixed_late_resolution_breakout,long,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,11:30,13:00,13:00,15:30,later_bar_open,fixed_1_5r,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_late_resolution_breakout,long,strict_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,11:30,13:00,13:00,15:30,later_bar_open,fixed_1_5r,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,high_vol_mixed_late_resolution_breakout,long,strict_high_vol_mixed,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,11:30,13:00,13:00,15:30,later_bar_open,fixed_1_5r,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_late_resolution_breakout,long,strict_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,11:30,13:00,13:00,15:30,later_bar_open,fixed_1_5r,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,high_vol_mixed_late_resolution_breakout,short,broad_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,11:30,13:00,13:00,15:30,later_bar_open,fixed_1_5r,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_late_resolution_breakout,short,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,11:30,13:00,13:00,15:30,later_bar_open,fixed_1_5r,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,high_vol_mixed_late_resolution_breakout,short,broad_high_vol_mixed,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,11:30,13:00,13:00,15:30,later_bar_open,fixed_1_5r,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_late_resolution_breakout,short,broad_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,11:30,13:00,13:00,15:30,later_bar_open,fixed_1_5r,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,11:30,13:00,13:00,15:30,later_bar_open,fixed_1_5r,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,11:30,13:00,13:00,15:30,later_bar_open,fixed_1_5r,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,11:30,13:00,13:00,15:30,later_bar_open,fixed_1_5r,False
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_late_resolution_breakout,short,strict_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,11:30,13:00,13:00,15:30,later_bar_open,fixed_1_5r,False
