candidate_id,module_family,side,regime_variant,fold_view,fold,active_days,trades,min_active_days,min_trades,below_min_activity,fold_result_interpretable
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,rolling_6_month_test_folds,1,7,7,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,rolling_6_month_test_folds,2,10,10,10,10,False,True
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,rolling_6_month_test_folds,3,10,10,10,10,False,True
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,quarterly_folds,1,2,2,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,quarterly_folds,2,5,5,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,quarterly_folds,3,5,5,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,quarterly_folds,4,5,5,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,existing_project_folds,1,1,1,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,existing_project_folds,2,2,2,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,existing_project_folds,3,1,1,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,existing_project_folds,4,1,1,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,existing_project_folds,5,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,existing_project_folds,6,4,4,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,half_year_folds,1,6,6,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,half_year_folds,2,8,8,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,rolling_6_month_test_folds,1,6,6,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,rolling_6_month_test_folds,2,8,8,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,rolling_6_month_test_folds,3,8,8,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,quarterly_folds,1,2,2,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,quarterly_folds,2,4,4,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,quarterly_folds,3,4,4,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,quarterly_folds,4,4,4,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,existing_project_folds,1,1,1,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,existing_project_folds,2,2,2,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,existing_project_folds,3,1,1,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,existing_project_folds,4,1,1,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,existing_project_folds,5,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,existing_project_folds,6,4,4,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,half_year_folds,1,6,6,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,half_year_folds,2,8,8,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,rolling_6_month_test_folds,1,6,6,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,rolling_6_month_test_folds,2,8,8,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,rolling_6_month_test_folds,3,8,8,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,quarterly_folds,1,2,2,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,quarterly_folds,2,4,4,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,quarterly_folds,3,4,4,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,quarterly_folds,4,4,4,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,1,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,2,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,3,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,4,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,5,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,6,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,half_year_folds,1,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,half_year_folds,2,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,rolling_6_month_test_folds,1,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,rolling_6_month_test_folds,2,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,rolling_6_month_test_folds,3,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,quarterly_folds,1,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,quarterly_folds,2,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,quarterly_folds,3,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,quarterly_folds,4,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,1,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,2,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,3,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,4,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,5,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,6,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,half_year_folds,1,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,half_year_folds,2,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,rolling_6_month_test_folds,1,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,rolling_6_month_test_folds,2,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,rolling_6_month_test_folds,3,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,quarterly_folds,1,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,quarterly_folds,2,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,quarterly_folds,3,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,quarterly_folds,4,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,1,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,2,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,3,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,4,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,5,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,6,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,half_year_folds,1,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,half_year_folds,2,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,rolling_6_month_test_folds,1,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,rolling_6_month_test_folds,2,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,rolling_6_month_test_folds,3,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,quarterly_folds,1,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,quarterly_folds,2,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,quarterly_folds,3,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,quarterly_folds,4,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,1,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,2,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,3,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,4,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,5,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,existing_project_folds,6,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,half_year_folds,1,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,half_year_folds,2,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,rolling_6_month_test_folds,1,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,rolling_6_month_test_folds,2,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,rolling_6_month_test_folds,3,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,quarterly_folds,1,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,quarterly_folds,2,0,0,10,10,True,False
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,quarterly_folds,3,0,0,10,10,True,False
