pruning_variant,priority_policy,portfolio_mode,fold,net_pnl,stress_pnl,active_days
overlay_priority_only,concentration_adjusted_priority,one_trade_at_a_time_chronological,5,-1525.76,-1566.76,41
overlay_priority_only,concentration_adjusted_priority,one_trade_at_a_time_chronological,6,4354.35,4311.35,43
overlay_priority_only,concentration_adjusted_priority,max_one_trade_per_session,1,-936.45,-977.45,41
overlay_priority_only,concentration_adjusted_priority,max_one_trade_per_session,2,872.66,831.66,41
overlay_priority_only,concentration_adjusted_priority,max_one_trade_per_session,3,-246.37,-287.37,41
overlay_priority_only,concentration_adjusted_priority,max_one_trade_per_session,4,-1042.38,-1083.38,41
overlay_priority_only,concentration_adjusted_priority,max_one_trade_per_session,5,1305.17,1264.17,41
overlay_priority_only,concentration_adjusted_priority,max_one_trade_per_session,6,2298.14,2255.14,43
overlay_priority_only,lowest_correlation_first,one_trade_at_a_time_chronological,1,-2430.11,-2471.11,41
overlay_priority_only,lowest_correlation_first,one_trade_at_a_time_chronological,2,-2589.98,-2630.98,41
overlay_priority_only,lowest_correlation_first,one_trade_at_a_time_chronological,3,385.46,344.46,41
overlay_priority_only,lowest_correlation_first,one_trade_at_a_time_chronological,4,-2115.42,-2156.42,41
overlay_priority_only,lowest_correlation_first,one_trade_at_a_time_chronological,5,-1525.76,-1566.76,41
overlay_priority_only,lowest_correlation_first,one_trade_at_a_time_chronological,6,4354.35,4311.35,43
overlay_priority_only,lowest_correlation_first,max_one_trade_per_session,1,-936.45,-977.45,41
overlay_priority_only,lowest_correlation_first,max_one_trade_per_session,2,872.66,831.66,41
overlay_priority_only,lowest_correlation_first,max_one_trade_per_session,3,-246.37,-287.37,41
overlay_priority_only,lowest_correlation_first,max_one_trade_per_session,4,-1042.38,-1083.38,41
overlay_priority_only,lowest_correlation_first,max_one_trade_per_session,5,1305.17,1264.17,41
overlay_priority_only,lowest_correlation_first,max_one_trade_per_session,6,2298.14,2255.14,43
overlay_priority_only,rare_setup_first,one_trade_at_a_time_chronological,1,-2430.11,-2471.11,41
overlay_priority_only,rare_setup_first,one_trade_at_a_time_chronological,2,-2589.98,-2630.98,41
overlay_priority_only,rare_setup_first,one_trade_at_a_time_chronological,3,385.46,344.46,41
overlay_priority_only,rare_setup_first,one_trade_at_a_time_chronological,4,-2115.42,-2156.42,41
overlay_priority_only,rare_setup_first,one_trade_at_a_time_chronological,5,-1525.76,-1566.76,41
overlay_priority_only,rare_setup_first,one_trade_at_a_time_chronological,6,4354.35,4311.35,43
overlay_priority_only,rare_setup_first,max_one_trade_per_session,1,-936.45,-977.45,41
overlay_priority_only,rare_setup_first,max_one_trade_per_session,2,872.66,831.66,41
overlay_priority_only,rare_setup_first,max_one_trade_per_session,3,-246.37,-287.37,41
overlay_priority_only,rare_setup_first,max_one_trade_per_session,4,-1042.38,-1083.38,41
overlay_priority_only,rare_setup_first,max_one_trade_per_session,5,1305.17,1264.17,41
overlay_priority_only,rare_setup_first,max_one_trade_per_session,6,2298.14,2255.14,43
overlay_deprioritize_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1,-2511.59,-2552.59,41
overlay_deprioritize_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2,-2661.96,-2702.96,41
overlay_deprioritize_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,3,246.46,205.46,41
overlay_deprioritize_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,4,-1887.42,-1928.42,41
overlay_deprioritize_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,5,-1525.76,-1566.76,41
overlay_deprioritize_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,6,4391.35,4348.35,43
overlay_deprioritize_only,hybrid_validation_then_correlation,max_one_trade_per_session,1,-936.45,-977.45,41
overlay_deprioritize_only,hybrid_validation_then_correlation,max_one_trade_per_session,2,886.16,845.16,41
overlay_deprioritize_only,hybrid_validation_then_correlation,max_one_trade_per_session,3,-72.37,-113.37,41
overlay_deprioritize_only,hybrid_validation_then_correlation,max_one_trade_per_session,4,-1008.88,-1049.88,41
