candidate_id,instrument,axis,branch,side,timeframe,entry_window,entry_start,entry_end,execution_exit_variant,range_filter,gap_filter,touch_filter,max_trades_per_day,atr_cap_multiple,buffer_ticks,target_r,min_minutes_between_entries,time_stop_minutes
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_widest_20,all_gaps,first_touch_only,1,1.25,1,1.5,60,45
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_widest_20,all_gaps,first_touch_only,2,1.25,1,1.5,60,45
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_gap_down_or_flat_all_touches_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_widest_20,gap_down_or_flat,all_touches,1,1.25,1,1.5,60,45
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_gap_down_or_flat_all_touches_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_widest_20,gap_down_or_flat,all_touches,2,1.25,1,1.5,60,45
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_gap_down_or_flat_first_touch_only_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_widest_20,gap_down_or_flat,first_touch_only,1,1.25,1,1.5,60,45
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_gap_down_or_flat_first_touch_only_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_widest_20,gap_down_or_flat,first_touch_only,2,1.25,1,1.5,60,45
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,middle_60_only,all_gaps,all_touches,1,1.25,1,1.5,60,45
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,middle_60_only,all_gaps,all_touches,2,1.25,1,1.5,60,45
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,middle_60_only,all_gaps,first_touch_only,1,1.25,1,1.5,60,45
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,middle_60_only,all_gaps,first_touch_only,2,1.25,1,1.5,60,45
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_gap_down_or_flat_all_touches_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,middle_60_only,gap_down_or_flat,all_touches,1,1.25,1,1.5,60,45
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_gap_down_or_flat_all_touches_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,middle_60_only,gap_down_or_flat,all_touches,2,1.25,1,1.5,60,45
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_gap_down_or_flat_first_touch_only_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,middle_60_only,gap_down_or_flat,first_touch_only,1,1.25,1,1.5,60,45
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_gap_down_or_flat_first_touch_only_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,middle_60_only,gap_down_or_flat,first_touch_only,2,1.25,1,1.5,60,45
MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,MNQ,secondary_long_opening_fade,overnight_range_fade,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,all_ranges,all_gaps,all_touches,1,1.25,1,1.5,30,30
MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt2,MNQ,secondary_long_opening_fade,overnight_range_fade,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,all_ranges,all_gaps,all_touches,2,1.25,1,1.5,30,30
MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_first_touch_only_mt1,MNQ,secondary_long_opening_fade,overnight_range_fade,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,all_ranges,all_gaps,first_touch_only,1,1.25,1,1.5,30,30
MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_first_touch_only_mt2,MNQ,secondary_long_opening_fade,overnight_range_fade,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,all_ranges,all_gaps,first_touch_only,2,1.25,1,1.5,30,30
MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,MNQ,secondary_long_opening_fade,overnight_range_fade,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,all_gaps,all_touches,1,1.25,1,1.5,30,30
MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,MNQ,secondary_long_opening_fade,overnight_range_fade,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,all_gaps,all_touches,2,1.25,1,1.5,30,30
MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,MNQ,secondary_long_opening_fade,overnight_range_fade,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,all_gaps,first_touch_only,1,1.25,1,1.5,30,30
MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,MNQ,secondary_long_opening_fade,overnight_range_fade,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,all_gaps,first_touch_only,2,1.25,1,1.5,30,30
MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt1,MNQ,secondary_long_opening_fade,overnight_range_fade,long,15,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,all_ranges,all_gaps,all_touches,1,1.25,1,1.5,60,45
MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt2,MNQ,secondary_long_opening_fade,overnight_range_fade,long,15,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,all_ranges,all_gaps,all_touches,2,1.25,1,1.5,60,45
MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_first_touch_only_mt1,MNQ,secondary_long_opening_fade,overnight_range_fade,long,15,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,all_ranges,all_gaps,first_touch_only,1,1.25,1,1.5,60,45
MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_first_touch_only_mt2,MNQ,secondary_long_opening_fade,overnight_range_fade,long,15,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,all_ranges,all_gaps,first_touch_only,2,1.25,1,1.5,60,45
MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,MNQ,secondary_long_opening_fade,overnight_range_fade,long,15,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,all_gaps,all_touches,1,1.25,1,1.5,60,45
MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,MNQ,secondary_long_opening_fade,overnight_range_fade,long,15,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,all_gaps,all_touches,2,1.25,1,1.5,60,45
MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,MNQ,secondary_long_opening_fade,overnight_range_fade,long,15,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,all_gaps,first_touch_only,1,1.25,1,1.5,60,45
MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,MNQ,secondary_long_opening_fade,overnight_range_fade,long,15,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,all_gaps,first_touch_only,2,1.25,1,1.5,60,45
