candidate_id,instrument,level_type,interaction_family,side,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,trade_start,trade_end,flatten_time,traded_level_source,level_source
MNQ_14a_prior_rth_close_breakout_hold_short_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_close,breakout_hold,short,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_close,breakout_hold,short,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_close,breakout_hold,short,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_reclaim_after_breach_long_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,reclaim_after_breach,long,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_reclaim_after_breach_long_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,reclaim_after_breach,long,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_reclaim_after_breach_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,reclaim_after_breach,long,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_reclaim_after_breach_long_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,reclaim_after_breach,long,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_reclaim_after_breach_short_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,reclaim_after_breach,short,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_reclaim_after_breach_short_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,reclaim_after_breach,short,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_reclaim_after_breach_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,reclaim_after_breach,short,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_reclaim_after_breach_short_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,reclaim_after_breach,short,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_rejection_from_level_long_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,rejection_from_level,long,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_rejection_from_level_long_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,rejection_from_level,long,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_rejection_from_level_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,rejection_from_level,long,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,rejection_from_level,long,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,rejection_from_level,short,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,rejection_from_level,short,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_rejection_from_level_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,rejection_from_level,short,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_rejection_from_level_short_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,rejection_from_level,short,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_breakout_hold_long_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,breakout_hold,long,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_breakout_hold_long_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,breakout_hold,long,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_breakout_hold_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,breakout_hold,long,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_breakout_hold_long_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,breakout_hold,long,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_breakout_hold_short_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,breakout_hold,short,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_breakout_hold_short_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,breakout_hold,short,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_breakout_hold_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,breakout_hold,short,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
MNQ_14a_prior_rth_midpoint_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,breakout_hold,short,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session
