trading_session,phase16a::MNQ_16a_high_vol_mixed_late_resolution_breakout_long_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,phase16a::MNQ_16a_high_vol_mixed_late_resolution_breakout_long_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,phase16a::MNQ_16a_high_vol_mixed_late_resolution_breakout_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit,phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit,phase15a::MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt2,phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt1,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt2
2025-08-08,0.0,0.0,0.0,-30.74,-30.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-11,0.0,0.0,0.0,40.76,40.76,0.0,33.76,0.0,0.0,0.0,0.0,0.0,-55.11,0.0,0.0,0.0,0.0,0.0,-27.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-12,31.76,13.26,11.26,86.26,86.26,-51.74,122.76,0.0,-25.74,-25.74,0.0,-92.74,0.0,0.0,0.0,0.0,55.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-13,0.0,0.0,0.0,-77.38,-77.38,0.0,-52.24,-21.24,0.0,0.0,-22.74,-31.24,0.0,0.0,0.0,0.0,-57.24,0.0,0.0,0.0,0.0,-22.74,0.0,0.0,-22.74,-22.74,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-14,0.0,0.0,0.0,0.0,0.0,-18.24,-17.74,0.0,0.0,0.0,0.0,0.0,-31.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.24,0.0,0.0,179.76,-90.48,0.0,-117.95,179.76,-126.74,-68.74,0.0,0.0,0.0,-126.74,179.76,0.0,0.0,179.76,179.76,0.0,0.0,0.0,0.0,0.0,-117.95
2025-08-18,0.0,0.0,0.0,0.0,0.0,-2.24,0.0,-7.74,0.0,0.0,-10.24,-42.24,0.0,56.76,-10.24,-31.24,-36.74,-88.98,0.0,-10.24,-31.24,-10.24,-10.24,-10.24,-10.24,-10.24,56.76,56.76,-10.24,-10.24,-10.24,56.76
2025-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.74,0.0,0.0,8.76,-68.74,0.0,0.0,8.76,0.0,-48.74,0.0,0.0,0.0,0.0,8.76,0.0,0.0,8.76,8.76,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-20,72.26,72.26,59.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-281.37,0.0,0.0,0.0,-281.37,0.0,0.0,0.0,0.0,-281.37,0.0,-281.37,-281.37,-281.37,-281.37,-281.37,0.0,0.0,-281.37,-281.37,-281.37,0.0
2025-08-21,0.0,0.0,0.0,0.0,0.0,-22.74,0.0,0.0,0.0,0.0,-9.74,-174.77,0.0,-157.74,-9.74,-141.74,-132.24,-76.98,0.0,-9.74,-141.74,-9.74,-9.74,-9.74,-9.74,-9.74,-157.74,-157.74,-9.74,-9.74,-9.74,-157.74
2025-08-22,0.0,0.0,0.0,195.26,195.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-25,0.0,0.0,0.0,0.0,0.0,0.0,36.26,0.0,0.0,0.0,0.0,0.0,0.0,99.76,0.0,100.76,0.0,0.0,0.0,0.0,100.76,0.0,0.0,0.0,0.0,0.0,99.76,99.76,0.0,0.0,0.0,99.76
2025-08-26,0.0,0.0,0.0,0.0,0.0,-37.24,61.01,0.0,-14.24,-14.24,0.0,-46.74,0.0,0.0,0.0,0.0,-72.74,0.0,-31.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-27,0.0,0.0,0.0,-12.74,-12.74,0.0,-26.24,0.0,0.0,0.0,0.0,-25.24,0.0,-61.74,0.0,60.26,132.26,0.0,0.0,0.0,60.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.74
2025-08-28,0.0,0.0,0.0,84.76,84.76,0.0,0.0,0.0,-14.74,-14.74,0.0,79.76,0.0,0.0,0.0,0.0,84.76,101.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.74,0.0,0.0,25.76,0.0,0.0,0.0,25.76,0.0,0.0,0.0,0.0,25.76,0.0,25.76,25.76,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0
2025-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,-26.24,-26.24,71.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.76,147.76,0.0,-139.24,0.0,0.0,58.76,-12.24,-139.24,0.0,0.0,0.0,-12.24,-12.24,147.76,147.76,-12.24,0.0,0.0,147.76
2025-09-03,0.0,0.0,0.0,87.76,87.76,0.0,0.0,0.0,0.0,0.0,0.0,-45.24,0.0,0.0,0.0,0.0,-53.74,0.0,-35.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-04,0.0,0.0,0.0,0.76,0.76,0.0,0.0,0.0,8.76,8.76,0.0,85.76,0.0,-15.74,0.0,-33.24,0.0,0.0,0.0,0.0,-33.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.74
2025-09-05,40.01,-31.24,-33.24,-124.7,-124.7,-50.74,37.76,0.0,0.0,0.0,-109.24,-85.24,0.0,0.0,0.0,0.0,-96.24,0.0,0.0,-109.24,0.0,-109.24,-109.24,-109.24,-109.24,-109.24,0.0,0.0,-109.24,0.0,0.0,0.0
2025-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-09,0.0,0.0,0.0,0.0,0.0,-79.24,29.76,0.0,0.0,0.0,-97.24,-55.74,0.0,-31.74,-97.24,-113.24,-32.24,1.26,0.0,0.0,-113.24,-97.24,0.0,0.0,-97.24,-97.24,0.0,0.0,0.0,0.0,0.0,-31.74
2025-09-10,0.0,0.0,0.0,13.76,13.76,0.0,0.0,0.0,0.0,0.0,0.0,-32.24,0.0,0.0,0.0,0.0,44.26,-30.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-11,0.0,0.0,0.0,6.26,6.26,0.0,0.0,0.0,-24.74,-24.74,0.0,55.52,0.0,0.0,0.0,0.0,35.26,14.26,-91.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-12,0.0,0.0,0.0,45.26,45.26,0.0,0.0,0.0,-27.2,-27.2,0.0,45.26,0.0,0.0,0.0,0.0,87.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-15,0.0,0.0,0.0,-12.74,-12.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-16,0.0,0.0,0.0,0.0,0.0,0.0,-5.24,-15.74,0.0,0.0,-19.74,-33.24,0.0,-24.74,-19.74,-31.24,-22.24,0.0,0.0,0.0,-31.24,-19.74,0.0,0.0,-19.74,-19.74,0.0,0.0,0.0,0.0,0.0,-24.74
2025-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.28,0.0,0.0,14.26,-16.24,0.0,-51.74,14.26,-56.24,0.0,0.0,0.0,0.0,-56.24,14.26,0.0,0.0,14.26,14.26,0.0,0.0,0.0,0.0,0.0,-51.74
2025-09-18,0.0,0.0,0.0,82.26,82.26,0.0,0.0,0.0,0.0,0.0,0.0,222.76,0.0,0.0,0.0,0.0,249.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-19,0.0,0.0,0.0,-1.74,-1.74,0.0,0.0,0.0,10.26,10.26,0.0,71.26,0.0,0.0,0.0,0.0,-2.74,75.52000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-22,0.0,0.0,0.0,70.76,70.76,0.0,52.01,0.0,-18.24,-18.24,0.0,0.0,70.76,0.0,0.0,0.0,0.0,0.0,-16.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,0.0,0.0,-24.24,3.26,0.0,0.0,0.0,0.0,0.0,0.0,3.26,0.0,0.0,3.26,3.26,0.0,0.0,0.0,0.0,0.0,-24.24
2025-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.76,0.0,0.0,225.76,-75.98,0.0,-44.74,225.76,-57.24,-83.98,0.0,0.0,0.0,-57.24,225.76,0.0,0.0,225.76,225.76,0.0,0.0,0.0,0.0,0.0,-44.74
2025-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.76,0.0,122.26,0.0,144.76,122.26,0.0,0.0,0.0,144.76,0.0,0.0,0.0,0.0,0.0,122.26,122.26,0.0,0.0,0.0,122.26
2025-09-26,-21.24,-21.24,-40.74,13.26,13.26,0.0,0.0,0.0,0.0,0.0,-8.74,-36.74,0.0,-13.74,-8.74,123.26,-41.74,-126.98,-11.74,-8.74,123.26,-8.74,-8.74,-8.74,-8.74,-8.74,-13.74,-13.74,-8.74,-8.74,-8.74,-13.74
2025-09-29,0.0,0.0,0.0,29.26,29.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0,0.0,0.0,0.0,-15.74,0.0,-31.24,-31.24,-14.74,15.52000000000001,0.0,-116.24,0.0,106.26,37.52000000000001,179.01999999999998,0.0,0.0,106.26,-14.74,0.0,0.0,-14.74,-14.74,0.0,0.0,0.0,0.0,0.0,-116.24
2025-10-01,0.0,0.0,0.0,23.76,23.76,0.0,-16.24,0.0,-0.24,-0.24,0.0,209.26,0.0,0.0,0.0,0.0,235.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-02,0.0,0.0,0.0,24.26,24.26,0.0,73.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-03,0.0,0.0,0.0,0.0,0.0,-27.24,9.26,0.0,0.0,0.0,-25.24,-45.24,0.0,-41.24,-25.24,96.26,-78.24,51.02,0.0,0.0,96.26,-25.24,0.0,0.0,-25.24,-25.24,0.0,0.0,0.0,0.0,0.0,-41.24
2025-10-06,0.0,0.0,0.0,-62.24,-62.24,0.0,0.0,0.0,-25.24,-25.24,0.0,-89.48,0.0,0.0,0.0,0.0,-61.24,15.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-07,0.0,0.0,0.0,0.0,0.0,0.0,-14.74,-30.24,0.0,0.0,-28.24,-15.74,0.0,0.0,-28.24,0.0,-67.24,-24.74,0.0,-28.24,0.0,-28.24,-28.24,-28.24,-28.24,-28.24,0.0,0.0,-28.24,-28.24,-28.24,0.0
2025-10-08,0.0,0.0,0.0,-39.53,-39.53,0.0,0.0,0.0,5.26,5.26,0.0,0.0,69.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-09,0.0,0.0,0.0,0.0,0.0,-25.24,0.0,-28.24,0.0,0.0,-130.12,-23.24,0.0,-23.24,-130.12,0.0,0.0,0.0,0.0,0.0,0.0,-130.12,0.0,0.0,-130.12,-130.12,0.0,0.0,0.0,0.0,0.0,-23.24
2025-10-10,0.0,0.0,0.0,-9.24,-9.24,0.0,0.0,55.76,0.0,0.0,729.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.26,0.0,0.0,729.26,729.26,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-13,0.0,0.0,0.0,0.0,0.0,143.26,0.0,0.0,0.0,0.0,0.0,249.76,0.0,0.0,0.0,0.0,94.26,212.76,152.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.76,0.0,-81.74,0.0,226.76,247.76,0.0,0.0,0.0,226.76,0.0,0.0,0.0,0.0,0.0,-81.74,-81.74,0.0,0.0,0.0,-81.74
2025-10-15,0.0,0.0,0.0,128.26,128.26,0.0,0.0,0.0,0.0,0.0,-77.74,244.26,0.0,0.0,0.0,0.0,0.0,-100.48,0.0,-77.74,0.0,-77.74,-77.74,-77.74,-77.74,-77.74,0.0,0.0,-77.74,0.0,0.0,0.0
2025-10-16,0.0,0.0,0.0,-7.74,-7.74,-49.74,0.0,-155.74,0.0,0.0,-152.24,80.52,0.0,0.0,0.0,0.0,98.51999999999998,-117.96,0.0,-152.24,0.0,-152.24,-152.24,-152.24,-152.24,-152.24,0.0,0.0,-152.24,0.0,0.0,0.0
